Name,Content_Warning,Related_Mange,staff
Midnight occult civil servants Specials,Violence,,
Hal,,Hal,"Ryoutarou Makihara : Director, Michiru Ooshima : Music, Katsuhiko Kitada : Character Design, George Wada : Producer, Tetsuya Kinoshita : Producer, Fumi Teranishi : Producer"
Slayers Great,,"Slayers (Light Novel), Slayers: Medieval Mayhem, Slayers Super-Explosive Demon Story, Slayers Special, Slayers Premium, Slayers: Knight of the Aqualord, Maburaho VS Slayers!?: Dragon All Stars Gekitouhen, Slayers vs Orphen (Light Novel), Slayers Revolution, Slayers: Light Magic, New Slayers: The Hourglass of Falces, Slayers Evolution-R","Kunihiko Yuyama : Chief Director, Takayuki Hattori : Music, Takahiro Yoshimatsu : Character Design, Kiminobu Sato : Producer, Michio Fukuda : Key Animator, Takahiro Tanaka : Key Animator"
Zoids: New Century/Zero,,"Zoids: Chaotic Century, Zoids: New Century","Takao Kato : Director, Kow Otani : Music, Tadashi Sakazaki : Character Design, Toshihiro Nakazawa : Producer, Hirofumi Morotomi : Producer"
PriPara 2,,,"Makoto Moriwaki : Director, Tsuneyoshi Saito : Music, Rei Ishizuka : Music, Masaharu Hara : Character Design"
Laughing Under the Clouds Gaiden: Movie 3,,"Laughing Under the Clouds, Laughing Under the Clouds Gaiden, Yamainu no Zangyou ni Warau","Kemuri Karakara : Original Creator, Tetsuya Wakano : Director, Hitomi Ezoe : Assistant Director, Eiji Umehara : Series Composition, Yutaka Yamada : Music, Kii Tanaka : Character Design"
"Listen to Me Girls, I'm Your Father!",,"Listen to Me Girls, I'm Your Father! (Light Novel), Listen to Me Girls, I'm Your Father!, Listen to Me Girls, I'm Your Father! The sunny place for Takanashi sisters., Listen to Me Girls, I'm Your Father! Miu-sama no Iu Toori, Listen to Me Girls, I'm Your Father! Usagi no Mark, Listen to Me Girls, I'm Your Father! Rojou Kansatsu Kenkyuukai Nisshi, Listen to Me Girls, I'm Your Father! After (Light Novel)","Itsurou Kawasaki : Director & Episode Director & Op Director & Storyboard, Hiroshi Uesugi : Music, Takashi Mamezuka : Character Design, Yasuhisa Kondou : Photography Director, Yoshikazu Iwanami : Sound Director, Tomoko Kawasaki : Producer, Takahiro Yamanaka : Producer, Shinya Shinozaki : Producer"
Chibi Maruko-chan,,Chibi Maruko-chan,"Momoko Sakura : Original Creator, Jun Takagi : Director, Yumiko Suda : Director, Kazunori Tanahashi : Director & Episode Director & Storyboard, Susumu Ishizaki : Director & Episode Director & Storyboard, Nobuyuki Nakamura : Music, Hideo Kawauchi : Character Design, Yuuji Shigekuni : Character Design"
Hakuouki OVA,,,"Osamu Yamasaki : Director, Kow Otani : Music, Atsuko Nakajima : Character Design, Yoshikazu Iwanami : Sound Director"
Mob Psycho 100 Reigen: The Miraculous Unknown Psychic,Violence,"Mob Psycho 100, Mob Psycho 100: Reigen",One : Original Creator
Strike Witches 2,Nudity,"Strike Witches (Light Novel), Strike Witches: Maidens in the Sky, Strike Witches: Otome no Maki (Light Novel), Strike Witches: The Sky that Connects Us, Strike Witches: 1937 Fuso Sea Incident, Strike Witches: Koushiki Comic à la Carte, Strike Witches: One-Winged Witches, Strike Witches Gekijouban: Kaeritai Basho (Light Novel), Strike Witches Gekijouban: 501 Butai Hasshinshimasu!, Strike Witches: Aurora no Majo, Strike Witches: Dai-501 Tougou Sentou Koukuudan, Strike Witches: Kurenai no Majo-tachi, Noble Witches: Dai 506 Tougou Sentou Koukuudan (Light Novel), Strike Witches: Contrail of Witches, Brave Witches: 502nd JFW Takeoff!, Strike Witches: 501 Butai Hasshinshimasu! Zoku","Kazuhiro Takamura : Director & Character Design, Seikou Nagaoka : Music, Koujirou Hayashi : Photography Director, Tsuneo Takechi : Producer, Naoshi Imamoto : Producer, Tomoko Suzuki : Producer, Jun Fukuda : Producer, Yuka Harada : Producer"
Shuangsheng Ling Tan,,Twin Detectives,Xiong Ke : Director
Detective Conan OVA 2: 16 Suspects,,"Magic Kaitou, Case Closed, Detective Conan: Tokubetsu-hen, Detective Conan: Zero's Tea Time","Gosho Aoyama : Original Creator, Yasuichiro Yamamoto : Director, Katsuo Ono : Music, Masatomo Sudou : Character Design, Masahito Yoshioka : Producer"
Pokemon Movie 20: I Choose You!,,"Pokemon the Movie: I Choose You! Remix, Pokémon the Movie: I Choose You!","Kunihiko Yuyama : Director, Shinji Miyazaki : Music, Sayuri Ichiishi : Character Design, Norihiro Matsubara : Character Design, Susumu Matsuyama : Producer, Atsushi Chiku : Producer, Satoshi Shimodaira : Producer, Hidenaga Katakami : Producer"
Saint Tail,,"Saint Tail, Saint Tail girls!","Megumi Tachikawa : Original Creator, Osamu Nabeshima : Director, Hayato Matsuo : Music, Junko Abe : Character Design, Shichirou Kobayashi : Art Director, Yasumichi Ozaki : Producer, Masayuki Kameda : Producer, Kazunori Tanahashi : Episode Director & Storyboard"
The Seven Deadly Sins: Imperial Wrath of the Gods,,The Seven Deadly Sins,"Nakaba Suzuki : Original Creator, Susumu Nishizawa : Director, Hiroyuki Sawano : Music, Takafumi Wada : Music, Kohta Yamamoto : Music, Rie Nishino : Character Design, Yousuke Takabayashi : Producer, Kenichi Ishikura : Storyboard"
Wangu Xian Qiong II,,,
Sugar Bunnies Chocolate! Specials,,,
Pucca: Love Recipe,,,
Shion no Ou,,Shion no Ou,"Masaru Katori : Original Creator, Toshifumi Kawase : Director, Kousuke Yamashita : Music, Seiya Numata : Animation Director & Character Design & Chief Animation Director, Shinichi Ikeda : Producer, Yuuichirou Takahata : Producer, Kouji Yamamoto : Producer, Ryuichi Kimura : Episode Director & Storyboard"
Medaka Box Abnormal,,"Medaka Box (Pilot), Medaka Box, Medaka Box (Light Novel)","Nisioisin : Original Creator & Screenplay, Shouji Saeki : Director & Episode Director & Screenplay & Series Composition & Storyboard, Tatsuya Katou : Music, Ikuo Kuwana : Character Design, Tomoyuki Saitou : Producer, Yoshikazu Beniya : Producer, Masazumi Katou : Producer, Yoshiyuki Itou : Producer"
D4DJ First Mix,,,"Seiji Mizushima : Director, Nana Mizuki : Song Performance, Aimi : Song Performance, Risa Tsumugi : Song Performance, Raychell : Song Performance, Happy Around! : Song Performance"
Space Battleship Yamato 2199: Tsuioku no Koukai,,,
Legend of the Condor Hero II,,,Noboru Sugimitsu : Character Design
Saiyuki Requiem,,"Saiyuki, Saiyuki Gaiden, Gekijouban Gensou Maden Saiyuki: Erabarezaru Mono e no Requiem (Light Novel), Saiyuki Reload, Saiyuki Reload Blast, Saiyuki Ibun, Saiyuki Anthology","Kazuya Minekura : Original Creator, Hayato Date : Director, Akira Senju : Music, Motoi Sakuraba : Music, Yuuji Moriyama : Character Design, Ken Hagino : Producer, Tomoko Gushima : Producer, Tetsuya Watanabe : Producer"
Pokemon XY,,"Pokemon: The Electric Tale of Pikachu, Pokémon Adventures, Magical Pokemon Journey, Pokemon Getto da ze!, Pokémon: Diamond and Pearl Adventure!, Pokemon Mystery Dungeon: Ginji's Rescue Team, Pokemon Ranger, Pokemon Ranger and the Temple of the Sea, Pokemon: The Rise of Darkrai, Pokemon Ranger Batonnage, Kaitou! Pokemon 7, Pokemon: Giratina & the Sky Warrior!, Pokémon: Arceus and the Jewel of Life, Pokemon ReBURST, Pokemon the Movie: White - Victini and Zekrom, Pokemon + Nobunaga no Yabou - Ranse Iroemaki, Pokemon XY: Pokemon Ryuuouden, Pokémon Adventures XY, Pokémon: Diancie and the Cocoon of Destruction, Pokémon: Omega Ruby & Alpha Sapphire, Pokemon the Movie: Hoopa and the Clash of Ages, Pokemon the Movie XY&Z: Volcanion to Karakuri no Magiana, Pokemon Horizon: Sun & Moon, Pokémon: Sun & Moon, Pokémon the Movie: I Choose You!, Pokémon the Movie: Secrets of the Jungle - Another Beginning","Kunihiko Yuyama : Chief Director, Tetsuo Yajima : Director, Shinji Miyazaki : Music, Toshihito Hirooka : Character Design"
Sayonara Zetsubou Sensei Blu-ray Box Special,,"Sayonara, Zetsubou-Sensei","Kouji Kumeta : Original Creator, Akiyuki Simbo : Director & Series Composition, Naoyuki Tatsuwa : Assistant Director, Shaft : Series Composition, Tomoki Hasegawa : Music, Hideyuki Morioka : Character Design, Junnosuke Miyamoto : Producer"
Days OVA,,"Days, Days Gaiden",Tsuyoshi Yasuda : Original Creator
Lord Marksman and Vanadis,Violence,"Lord Marksman and Vanadis, Lord Marksman and Vanadis (Light Novel)","Tatsuo Satou : Director, Masaru Yokoyama : Music, Nobuaki Nobusawa : Music, Yousuke Kabashima : Character Design & Chief Animation Director, Kenji Yasuda : Episode Director, Takaaki Fukuyo : Animation Director & Key Animator"
Thunder Jet,,"Thunder Jet, Ginga Sengoku Gunyuuden Rai Ibun","Johji Manabe : Original Creator, Seiji Okuda : Director, Kaoru Wada : Music, Makoto Takahoko : Character Design, Keisuke Iwata : Producer, Tomonori Kogawa : Animation Director & Episode Director & Storyboard, Shinji Takagi : Episode Director & Storyboard, Kazuya Miyazaki : Episode Director & Storyboard"
Ling Yu 3rd Season,,Spirit Realm (Novel),
Caramel Honey,,Caramel Honey,Takuhei : Original Creator
Library War,,"Toshokan Sensou (Light Novel), Library Wars: Love & War, Toshokan Sensou Spitfire!, Toshokan Sensou: Love & War Bessatsu-hen","Takayuki Hamana : Director & Episode Director & Storyboard, Yuugo Kanno : Music, Satoru Nakamura : Character Design, Shigemi Ikeda : Art Director, Atsuya Takase : Producer, Fumie Takeuchi : Producer, Yoshiaki Kyougoku : Key Animator, Shinpei Kamata : Key Animator"
Yamada-kun and the Seven Witches OVA,,Yamada-kun and the Seven Witches,"Miki Yoshikawa : Original Creator, Seiki Takuno : Director, Eriko Iida : Character Design"
Kuroko's Basketball: Oshaberi Shiyokka,,"Kuroko’s Basketball, Kuroko's Basketball: Replace (Light Novel), Kuroko's Basketball: Extra Game, Kuroko's Basketball: Replace Plus",Tadatoshi Fujimaki : Original Creator
Grimoire of Zero,,"Grimoire of Zero, Grimoire of Zero (Light Novel), Grimoire of Zero Nano!, The Dawn of the Witch (Light Novel), The Dawn of the Witch","Tetsuo Hirakawa : Director, Akito Matsuda : Music, Daisuke Mataga : Character Design, Ryosuke Kimiya : Character Design, Hiroshi Kawamura : Producer, Takema Okamura : Producer, Fuminori Yamazaki : Producer, Mika Shimizu : Producer"
Atashinchi Movie,,Atashin'chi,"Eiko Kera : Original Creator, Tetsuo Yasumi : Director, Masae Sagara : Music, Naomi Nishiguchi : Producer"
Ojamajo Doremi DOKKAAN!,,"Ojamajo Doremi, Ojamajo Doremi 16 (Light Novel), Ojamajo Doremi 17 (Light Novel), Ojamajo Doremi 18 (Light Novel), Ojamajo Doremi 19 (Light Novel), Ojamajo Doremi 20’s (Light Novel)","Takuya Igarashi : Director, Keiichi Oku : Music, Hiromi Seki : Producer, Tomoko Takahashi : Producer, Moegi Nishizawa : Producer, Mamoru Hosoda : Episode Director & Storyboard"
Mahoujin Guru Guru,,Mahoujin Guru Guru,"Hiroyuki Eto : Original Creator, Nobuaki Nakanishi : Director, Nobuyuki Nakamura : Music, Shinichi Watanabe : Episode Director & Storyboard, Susumu Ishizaki : Episode Director & Storyboard, Jirou Saitou : Storyboard, Jou Tanaka : Animation Director"
New Kimagure Orange Road: Summer's Beginning,,Kimagure Orange Road,"Izumi Matsumoto : Original Creator, Kenji Terada : Original Creator & Screenplay, Kunihiko Yuyama : Director, Yuki Kajiura : Music, Takayuki Gotou : Character Design, Shichirou Kobayashi : Art Director, Reiko Fukakusa : Producer, Mitsuru Ooshima : Producer"
"Science Fell in Love, So I Tried to Prove It",,"Science Fell in Love, So I Tried to Prove It","Alfred Yamamoto : Original Creator, Tooru Kitahata : Director, Hisakuni : Music, Shouichiro Hirata : Music, Kaoru Ootsuka : Music, Shuhei Takahashi : Music, Takuma Sogi : Music, Yuuko Takahashi : Music"
Hayate the Combat Butler!,,"Hayate the Combat Butler, Hayate the Combat Butler (Light Novel), Hayate no Gotoku! 0","Kenjirou Hata : Original Creator, Keiichirou Kawaguchi : Director, Kotaro Nakagawa : Music, Osamu Horiuchi : Character Design, Naohiko Furuichi : Producer, Shinichi Watanabe : Episode Director & Storyboard"
Healin' Good Pretty Cure Movie: Yume no Machi de Kyun! Tto GoGo! Daihenshin!!,,,Kaori Saitou : Key Animator
Mobile Suit Gundam 0083: Stardust Memory,,"Mobile Suit Gundam: Awakening, Escalation, Confrontation (Light Novel), Mobile Suit Gundam ZZ, Mobile Suit Gundam: The Revival of Zeon, Mobile Suit Gundam: New Revival of Zeon, Mobile Suit Gundam: Hathaway's Flash (Light Novel), Mobile Suit Gundam F90, Mobile Suit Gundam 0079, Mobile Suit Gundam 0083: Stardust Memory, Mobile Suit Crossbone Gundam, Mobile Fighter G Gundam, Record of MS War: Mobile Suit Gundam Abridged, Mobile Suit Gundam Wing, Mobile Suit Gundam Side Story: The Blue Destiny, Mobile Suit Gundam: Silhouette Formula 91, Mobile Suit Gundam Wing: Episode Zero, Mobile Suit Gundam Wing: Battlefield of Pacifists, Mobile Suit Gundam: The Last Outpost, Mobile Suit Gundam Wing: Ground Zero, Mobile Suit Gundam Wing: Endless Waltz, Mobile Suit Gundam Wing: Blind Target, Mobile Suit Gundam 0083: Heroes of Stardust, Mobile Suit Gundam: Ecole du Ciel, Mobile Suit Gundam Developers: Before the One Year War, Mobile Suit Gundam: The Origin, Mobile Suit Gundam: Char's Deleted Affair ~ Portrait of Young Comet, Mobile Suit Gundam: Lost War Chronicles, Mobile Suit Gundam SEED, Nightmare of Solomon, Mobile Suit Gundam: The Anthology, Mobile New Century Gundam X: Under the Moonlight, Mobile Suit Zeta Gundam 1/2, Mobile Suit Gundam Climax U.C., Mobile Suit Gundam: The Gihren Assassination Plot, Mobile Suit Gundam 00, Mobile Suit Gundam: Sparking no A Baoa Qu, Mobile Suit Gundam 00 in those days, Mobile Suit Gundam 00F, Mobile Suit Gundam 00 2nd Season, Mobile Suit Gundam 001, Mobile Suit Gundam Unicorn: Bande Dessinee, Mobile Suit Gundam: Char's Counterattack - Beyond the Time, Mobile Suit Gundam Wing: Glory of the Losers, Mobile Suit Gundam AGE, Mobile Suit Gundam: MSV-R - Fabulous Shin Matsunaga, Mobile Suit Gundam: Hunter of Black Clothes, Mobile Suit Gundam 0083: Rebellion, Mobile Suit Gundam: Char's Counterattack - Beltorchika's Children, Mobile Suit Moon Gundam","Mitsuko Kase : Director, Takashi Imanishi : Director, Mitsuo Hagita : Music, Toshihiro Kawamoto : Character Design, Masuo Ueda : Producer, Minoru Takanashi : Producer, Hiroki Kanno : Animation Director & Key Animator"
Elfen Lied: In the Passing Rain,"Explicit Violence,, Nudity",Elfen Lied,"Lynn Okamoto : Original Creator, Mamoru Kanbe : Director, Seiji Kishimoto : Character Design"
Tsubasa Reservoir Chronicle The Movie: The Princess in the Birdcage Kingdom,,"Tsubasa: Reservoir Chronicle, Shiritsu Horitsuba Gakuen","Clamp : Original Creator, Itsurou Kawasaki : Director & Screenplay, Yuki Kajiura : Music, Youko Kikuchi : Character Design, Toshiaki Doushita : Producer, Yoshihiro Iwasaki : Producer, Hiroaki Morita : Producer, Tetsuya Nakatake : Producer"
Yuru Yuri,,"Yuru Yuri, Risetto!, Big Sister Mode, Yuru Yuri Comic Anthology, Oomuroke","Namori : Original Creator, Masahiko Oota : Director, Yasuhiro Misawa : Music, Chiaki Nakajima : Character Design, Takashi Yoshizawa : Producer, Youko Kawahara : Producer, Yuuji Yanase : Animation Director & Assistant Animation Director & Storyboard, Daisuke Itou : Chief Assistant Animation Director"
Qin Shi Mingyue: Tian Xing Jiu Ge 2nd Season,,,
New Gods: Nezha Reborn,,,
"If My Favorite Pop Idol Made it to the Budokan, I Would Die",,"If My Favorite Pop Idol Made it to the Budokan, I Would Die","Auri Hirao : Original Creator, Yuusuke Yamamoto : Director, Moe Hyuuga : Music, Tomoyuki Shitaya : Character Design, Masaru Yonezawa : Character Design, Yoshinori Hasegawa : Producer, Yuusuke Terada : Producer"
Digimon Adventure Movie 1,,"Digimon Adventure V-Tamer 01, Digimon, Digimon Adventure (Light Novel)","Hiroyuki Kakudou : Director, Takanori Arisawa : Music, Katsuyoshi Nakatsuru : Character Design, Mamoru Hosoda : Storyboard, Michio Fukuda : Key Animator, Fumihide Sai : Key Animator, Nobuyuki Takeuchi : Key Animator"
Strike the Blood: Kingdom of the Valkyria,Nudity,"Strike the Blood (Light Novel), Strike the Blood","Takao Sano : Chief Director, Hideyo Yamamoto : Director, Assumed Sounds : Music, Keiichi Sano : Character Design"
Hetalia: Axis Powers Fan Disc,,"Hetalia: Axis Powers, Hetalia: World Stars",
To Love Ru: Multiplication - Mae kara Ushiro kara,"Nudity,, Sexual Content","To Love Ru, To Love Ru: Abunai Girls Talk (Light Novel), To Love Ru Darkness, To Love Ru Darkness: Little Sisters (Light Novel)",Saki Hasemi : Original Creator
Nogizaka Haruka no Himitsu: Finale,,"Nogizaka Haruka no Himitsu (Light Novel), Nogizaka Haruka no Himitsu","Tsuyoshi Tamai : Series Composition, Yoshikazu Iwanami : Sound Director, Kouhei Kawase : Producer, Tetsurou Satomi : Producer, Nobuhiro Nakayama : Producer, Satoshi Fujita : Producer, Ryousuke Naya : Producer, Jun Fukuda : Producer"
Pretty Cure All Stars New Stage 3: Eien no Tomodachi,,"Futari wa Precure, Futari wa Pretty Cure: Splash Star, Eiga: Futari wa Pretty Cure Splash Star - Chikutaku Kiki Ippatsu!, Go! Princess Pretty Cure, Kirakira Precure à la Mode",Yasuhiro Katou : Cg Director
Hori-san to Miyamura-kun,,"Hori-san to Miyamura-kun, Horimiya, Hori-san to Miyamura-kun Omake","Hero : Original Creator, Tetsuo Hirakawa : Director, Shingo Natsume : Director, Erkin Kawabata : Director, Kenichi Kutsuna : Character Design, Satoko Kimura : Color Design, Masaru Nagai : Producer"
Otaku's Offspring,,Otaku's Offspring,
Mikan Enikki,,Mikan Enikki,"Miwa Abiko : Original Creator, Noboru Ishiguro : Director, Tomoki Hasegawa : Music, Noboru Sugimitsu : Character Design, Akio Watanabe : Animation Director"
Strike the Blood II,Nudity,"Strike the Blood (Light Novel), Strike the Blood","Takao Sano : Chief Director, Hideyo Yamamoto : Director, Assumed Sounds : Music, Keiichi Sano : Character Design"
B: The Beginning,Explicit Violence,,"Yoshiki Yamakawa : Director, Kazuto Nakazawa : Director & Character Design, Yoshihiro Ike : Music, Itsurou Kawasaki : Episode Director, Ryota Furukawa : Animation Director & Key Animator, Toru Iwazawa : Key Animator, Arthell Isom : Background Artist, Jean-Ken Johnny : Song Lyrics & Song Performance"
Laughing Under the Clouds Gaiden: Movie 2,,"Laughing Under the Clouds, Laughing Under the Clouds Gaiden, Yamainu no Zangyou ni Warau","Kemuri Karakara : Original Creator, Tetsuya Wakano : Director, Hitomi Ezoe : Assistant Director, Eiji Umehara : Series Composition, Yutaka Yamada : Music, Kii Tanaka : Character Design"
One Piece: The Desert Princess and the Pirates - Adventures in Alabasta Prologue,,"One Piece, One Piece: Taose! Kaizoku Ganzack (Light Novel), One Piece: Loguetown-hen (Light Novel), One Piece: Strong World, Chopperman: Yuke Yuke! Minna no Chopper-sensei, One Piece Party, One Piece Ace's Story (Light Novel), One Piece episode A",
Urusei Yatsura Movie 5: The Final Chapter,,Urusei Yatsura,"Rumiko Takahashi : Original Creator, Satoshi Dezaki : Director, Setsuko Shibuichi : Character Design, Kenichi Maejima : Key Animator & Mechanical Design, Youko Matsushita : Producer, Kazuko Suzuki : Background Artist"
Super Crooks,,,"Motonobu Hori : Director, Dai Satou : Series Composition, Takashi Mitani : Character Design, Kaori Saitou : Key Animator"
Tonari no Seki-kun: The Master of Killing Time OVA,,"My Neighbor Seki, Tonari no Seki-kun Junior","Takuma Morishige : Original Creator, Hiroshi Nakamura : Music"
True Tears,,True Tears,"Junji Nishimura : Director, Hajime Kikuchi : Music, Kanami Sekiguchi : Character Design, Takayuki Nagatani : Producer, Kenji Horikawa : Producer, Ryousuke Hiramitsu : Producer, Yoshiyuki Itou : Producer"
Himouto! Umaru-chan,,"Himouto! Umaru-chan, Himouto! Umaru-chan S, Akita Imokko! Ebina-chan, Himouto! Umaru-chan N (Light Novel), Himouto! Umaru-chan SS, Himouto! Umaru-chan G1","Sankakuhead : Original Creator, Masahiko Oota : Director, Yasuhiro Misawa : Music, Aya Takano : Character Design, Katsuhiro Takei : Producer"
City Hunter: .357 Magnum,,City Hunter,"Tsukasa Hojo : Original Creator, Kenji Kodama : Director, Tatsumi Yano : Music, Yukiko Kamimura : Character Design, Masuo Ueda : Producer, Michihiko Suwa : Producer, Shigeaki Komatsu : Producer"
"You're Being Summoned, Azazel Z",,Yondemasuyo Azazel-san,"Yasuhisa Kubo : Original Creator, Tsutomu Mizushima : Director, Ryuji Takagi : Music, Junichirou Taniguchi : Character Design, Haruki Hayashi : Producer, Junichirou Tsuchiya : Producer, Yukio Takatsu : Key Animator"
Meiji Tokyo Renka Movie 2: Hanakagami no Fantasia,,Meiji Tokyo Renka: Oboro no Koku no Gikyoku,Rie Matsubara : Editor
Beelzebub Jump Super Anime Tour Special,,"Beelzebub, Beelzebub Bangai-hen","Ryuuhei Tamura : Original Creator, Tsuyoshi Yoshioka : Character Design"
Fox Spirit Matchmaker Season 2,,Fox Spirit Matchmaker,
Ado: Usseewa,Violence,,"Wooma : Director, Ado : Song Performance, Syudou : Song Arrangement & Song Composition & Song Lyrics"
Blue Exorcist: Kuro's Trip Away From Home,,"Time Killers: Kazue Kato Short Story Collection, Blue Exorcist, Salaryman Futsumashi Okumura Yukio no Aishuu",Kazue Katou : Original Creator
Slayers: The Book of Spells,,"Slayers (Light Novel), Slayers: Medieval Mayhem, Slayers Super-Explosive Demon Story, Slayers Special, Slayers Premium, Slayers: Knight of the Aqualord, Maburaho VS Slayers!?: Dragon All Stars Gekitouhen, Slayers vs Orphen (Light Novel), Slayers Revolution, Slayers: Light Magic, New Slayers: The Hourglass of Falces, Slayers Evolution-R","Hiroshi Watanabe : Director, Takayuki Hattori : Music, Takahiro Yoshimatsu : Character Design, Kiminori Sato : Producer, Takahiro Tanaka : Key Animator"
Symphogear AXZ,Violence,"Senki Zesshou Symphogear, Senki Zesshou Symphogear GX Anthology Comic: Manga de Zesshou Symphogear","Katsumi Ono : Director, Junpei Fujita : Music, Hitoshi Fujima : Music, Satoru Fujimoto : Character Design, Masato Satou : Storyboard, Kenji Yasuda : Storyboard, Yousuke Kabashima : Chief Animation Director"
Sailor Moon Sailor Stars Memorial,,"Codename: Sailor V, Sailor Moon, Pretty Guardian Sailor Moon: Short Stories",
Laid-Back Camp Specials,,Laid-Back Camp,"Afro : Original Creator, Yoshiaki Kyougoku : Episode Director, Eri Irei : Animation Director"
Ah! My Goddess TV,,"Oh My Goddess!, Oh My Goddess!: Adventures of the Mini-Goddesses, Oh My Goddess! First End (Light Novel), Aa! Shuukatsu no Megami-sama!","Kosuke Fujishima : Original Creator, Hiroaki Gohda : Director, Shirou Hamaguchi : Music, Hidenori Matsubara : Character Design, Toshiharu Murata : Mechanical Design, Takashi Takano : Producer, Ryuichi Kimura : Episode Director & Storyboard"
Corpse Princess: Kuro,,Corpse Princess,"Yoshiichi Akahito : Original Creator, Masahiko Murata : Director & Episode Director & Storyboard, Norihito Sumitomo : Music, Chikashi Kubota : Character Design, Kikuko Sadakata : Character Design, Nobuyuki Kurashige : Producer, Hiroyuki Yamaga : Producer, Keiichi Kashiwada : Producer"
Aoharu x Machinegun: This is a Battlefield for Beasts!,,"Aoharu x Kikanjuu, Aoharu x Machinegun",Naoe : Original Creator
Aldnoah.Zero 2nd Season,,"Aldnoah.Zero, Aldnoah.Zero Gaiden: Twin Gemini, Aldnoah.Zero Anthology Comic, Aldnoah.Zero 2nd Season","Gen Urobuchi : Original Creator, Ei Aoki : Director & Episode Director & Storyboard, Hiroyuki Sawano : Music, Masako Matsumoto : Character Design"
Detective Conan: Anti-Crime Guide,,,
New Game! Special,,"New Game!, NEW GAME! Anthology Comic",Shoutarou Tokunou : Original Creator
Outbreak Company,,"Outbreak Company (Light Novel), Outbreak Company","Kei Oikawa : Director, Keiji Inai : Music, Takashi Mamezuka : Character Design, Tomoko Kawasaki : Producer, Junichirou Tanaka : Producer, Gorou Shinjuku : Producer, Masashi Takatori : Producer, Yuuji Yanase : Episode Director"
Fox Spirit Matchmaker Season 4,,Fox Spirit Matchmaker,
Twin Star Exorcists,,"Twin Star Exorcists, Twin Star Exorcists: SD Nyoritsuryou!!, Twin Star Exorcists: Tenen Jakko (Light Novel), Twin Star Exorcists: Ten'en Jakko - Nishiki Kokkeiga","Yoshiaki Sukeno : Original Creator, Tomohisa Taguchi : Director, Mikio Endou : Music, Kikuko Sadakata : Character Design, Makoto Hijikata : Producer, Tomohiko Iwase : Producer, Maiko Isotani : Producer, Teruaki Jitsumatsu : Producer"
Love Live! Sunshine!!,,"Love Live!, Love Live! School Idol Diary, Love Live! School Idol Diary: Second Season, Love Live! Sunshine!! School Idol Diary (Light Novel), Love Live! Sunshine!! Maru no Yon Koma","Kazuo Sakai : Director, Tatsuya Katou : Music, Yuhei Murota : Character Design, Gou Kurosaki : Cg Director, Satoshi Hirayama : Producer, Masaki Kawake : Chief Animation Director"
Asura Cryin' 2,,"Asura Cryin' (Light Novel), Asura Cryin'","Gakuto Mikumo : Original Creator, Keizou Kusakawa : Director, Mitsutaka Tajiri : Music, Atsushi Komori : Character Design, Gou Nakanishi : Producer, Hiroyuki Yuzawa : Producer, Osamu Kamimura : Producer"
Keroro Gunsou Movie 3: Tenkuu Daikessen de Arimasu!,,Sgt. Frog,"Mine Yoshizaki : Original Creator, Junichi Satou : Director, Saeko Suzuki : Music, Fumitoshi Oizaki : Character Design, Chieo Ohashi : Producer, Takayuki Watanabe : Producer"
Sekirei,"Mature Themes,, Nudity,, Physical Abuse","Sekirei, Sekirei: 365 Days Without Her","Sakurako Gokurakuin : Original Creator, Keizou Kusakawa : Director, Hiroaki Sano : Music, Shinpei Tomooka : Character Design, Hiroyuki Shimizu : Producer, Kozue Kaneniwa : Producer, Michio Fukuda : Storyboard, Osamu Inoue : Storyboard"
Wasteful Days of High School Girls,,Wasteful Days of High School Girls,"Bino : Original Creator, Takeo Takahashi : Director, Hijiri Sanpei : Director, Tomoki Kikuya : Music, Shouko Yasuda : Character Design, Ayako Tan : Editor"
Black Bullet,,"Black Bullet (Light Novel), Black Bullet","Masayuki Kojima : Director, Shirou Sagisu : Music, Senbon Umishima : Character Design, Mitsutoshi Ogura : Producer, Asuka Yamazaki : Producer, Fuminori Yamazaki : Producer"
Mahoujin Guru Guru (2017),,Mahoujin Guru Guru,"Hiroyuki Eto : Original Creator, Hiroshi Ikehata : Director, Technoboys Pulcraft Green-Fund : Music, Naoyuki Asano : Character Design, Tetsuya Takahashi : Photography Director, Emiko Ueno : Color Design, Itsurou Kawasaki : Storyboard, Shin Wakabayashi : Storyboard"
Detective Conan OVA 5: The Target is Kogoro! The Detective Boys' Secret Investigation,,"Magic Kaitou, Case Closed, Detective Conan: Tokubetsu-hen, Detective Conan: Zero's Tea Time","Gosho Aoyama : Original Creator, Masato Satou : Director, Katsuo Ono : Music, Mari Tominaga : Character Design, Satoshi Kojima : Producer, Tetsu Kojima : Producer"
Lupin III Special 12: Missed by a Dollar,,"Lupin III, Lupin Kozou","Monkey Punch : Original Creator, Hideki Tonokatsu : Director & Storyboard, Yuuji Oono : Music, Ryou Tanaka : Character Design, Hiroshi Yamashita : Producer, Yasumichi Ozaki : Producer, Keishi Sakai : Key Animator"
I've Always Liked You Special,,,
Crayon Shin-chan Specials,Mature Themes,,
BanG Dream! Movie: Episode of Roselia - Part I: Yakusoku,,BanG Dream!,
